date,name,info,results
1/Nov/2022,Deadlift,5 reps per setRest 1 minute between sets of:RPE 5RPE 6RPE 6RPE 8RPE 8RPE 8,"145, 155, 155, 235x3"
1/Nov/2022,Wide Pinch OTGs,Pick up and hold for a 2-countSwitch hands and repeat immediatelyRest 30 seconds between reps of:RPE 7RPE 7RPE 8RPE 8RPE 8RPE 9,"55, 55, 60, 60, 60 failed at 65"
1/Nov/2022,Open Climb: Movement Focus,"As you climb today, focus on long boulders. Think about efficiency and how you can save energy on moved while on-the-wall.",
31/Oct/2022,Long Project,Select or create a problem that is 12-15 hand moves long. Each move should be approximately as difficult as the next. It is an ideal problem if you're falling near the top due to being pumped.Rest 2 minutes after each attemptTry the problem at least 10 times,Fell lower and lower each time 😅Did 'Long One' on spraywall
31/Oct/2022,Frenchies.,On a pull-up bar or hangboard jugs:Hang straight arm for 5 secondsPull to 90 degrees and hold for 5 secondsPull to chin over bar and hold for 5 secondsRelease to 90 degrees and hold for 5 secondsRelease to straight arms and hang for 5 secondsRest 1 minute3 sets,
29/Oct/2022,Bouldering,Let me know how it goes!,Did Sun Storm V11 in Wild Basin
27/Oct/2022,Bench Press,5 reps per setRest 1 minute between sets of:RPE 5RPE 6RPE 6RPE 8RPE 8RPE 8,
27/Oct/2022,Back Squat,5 reps per setRest 1 minute between sets of:RPE 5RPE 6RPE 6RPE 8RPE 8RPE 8,
27/Oct/2022,Repeaters,20mmHalf Crimp10 seconds on10 seconds offRest 2 minutes3 sets,
27/Oct/2022,Board Projecting,2-3 climb focus in 1-2 hours of climbing.,
25/Oct/2022,Overhead Press,5 reps per setRest 1 minute between sets of:RPE 5RPE 6RPE 6RPE 8RPE 8RPE 8,"45, 65, 65, 105, 105, 95"
25/Oct/2022,Deadlift,5 reps per setRest 1 minute between sets of:RPE 5RPE 6RPE 6RPE 8RPE 8RPE 8,"135, 145, 225x3"
25/Oct/2022,20mm Crimp OTGs,Pick up and hold for a 2-countSwitch hands and repeat immediatelyRest 30 seconds between reps of:RPE 7RPE 7RPE 8RPE 8RPE 8RPE 9,"135, 135, 145, 145, 145, 155"
25/Oct/2022,Open Climb: Movement Focus,"As you climb today, focus on long boulders. Think about efficiency and how you can save energy on moved while on-the-wall.",
24/Oct/2022,"5 on, 5 off","Select 5 problems that are approximately at your flash limit. Ideal if you've never tried them before.Try each problem for 5 minutes, starting from the start holds each time. If you send or if the 5 minutes run out, start the 5 minute ""rest"" timer before trying the next problem.",
24/Oct/2022,1 minute max Pull-Push,"5 pull ups, then 5 push ups, then back to pull ups, etc.Do as many as you can in 1 minute.Rest 3 minutes3 sets",
24/Oct/2022,Open Climb,,
23/Oct/2022,Rest,,
22/Oct/2022,Easy Climbing,45-60 minutes of easy climbing. Focus on movement.,
21/Oct/2022,Rest,,
20/Oct/2022,Repeaters,Bodyweight20mm10 on / 10 off10 reps2 min rest3 sets,
20/Oct/2022,Easy Climbing,45-60 minutes. Focus on movement.,
19/Oct/2022,Rest,,
18/Oct/2022,Easy Climbing,45-60 minutes of easy climbing. Focus on movement.,
17/Oct/2022,Rest,,
16/Oct/2022,Have fun and try hard!,,Drove home :(
15/Oct/2022,Have fun and try hard!,,"Tried Ghost King again. Have start dialed but could not get the heel on. Friction was TERRIBLE today. Despite how easy the start feels now compared to session 1, getting the heel on feels impossible today due to left hand slipping off sloper crimp."
14/Oct/2022,Have fun and try hard!,,
13/Oct/2022,Have fun and try hard!,,
12/Oct/2022,Have fun and try hard!,,
11/Oct/2022,Have fun and try hard!,,"Tried Pagan Poetry. Can do 2nd move consistently, but cannot quite do the 1st or 3rd move."
10/Oct/2022,Have fun and try hard!,,Tried Ghost King. Figured out start through holding the toe hook cut.
9/Oct/2022,Sub max boulders,Outdoor preferred. 6-10 sub limit boulders.,
8/Oct/2022,Repeaters,"Full pad, 3-finger drag10 second hang10 second rest10 repsrest 2 minutes3 sets",
8/Oct/2022,Board Projecting,,
6/Oct/2022,Bench Press,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,
6/Oct/2022,Squat,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,
6/Oct/2022,Pause Push Jerk,"(New lift. See video. Start small, use dumbbells if needed).RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets",
6/Oct/2022,Dumbbell Bicep Curl,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,
6/Oct/2022,Open Climb,,
5/Oct/2022,1 Hour V-Point Challenge,How many V-Points can you accumulate in 1 hour? No repeats!,Did 107 points in 1 hour at LCC!
4/Oct/2022,Up-Down-Ups,-Select a flash level boulder-Climb up the boulder-Climb back down to the start holds using any holds. Do not stop to rest!-Repeat the same boulder.-Rest 2 minutes-Repeat with a new boulder-4 sets total,
4/Oct/2022,Weighted Strict Pronated Pull-Up,-Jug rung-Weight added to RPE 8-3 reps-rest 1 minute-5 sets,
4/Oct/2022,90 Second Non-Stop,"-Start timer-make up a climb as you go. This requires good hold and move selection on your part. You want to get through the whole 90 seconds, but barely.-Rest 2 minutes-4 total sets",
4/Oct/2022,1APU Work,-Weight off-RPE 8-1 one arm pull-ups in a row per hand-Rest 1 minute-3 sets total,
4/Oct/2022,2X2,"-Select a flash level climb-Climb it 2X in a row, spending as little time on the ground as possible (just a quick chalk-up is all you get)-Rest 2 minutes-Repeat for 2 sets total.",
4/Oct/2022,Max Pull-Ups (30 seconds),How many pull-ups can you do in 30 seconds?,
2/Oct/2022,Sub max boulders,Outdoor preferred. 6-10 sub limit boulders.,
1/Oct/2022,Repeaters,"Full pad, 3-finger drag10 second hang10 second rest10 repsrest 2 minutes3 sets",
1/Oct/2022,Board Projecting,,
29/Sep/2022,Overhead Press,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"30, 40, 50"
29/Sep/2022,Romanian Deadlift,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"Pulled hip a bit earlier this week so went lighter. 95, 145, 195"
29/Sep/2022,Hang Clean,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"45, 85, 105"
29/Sep/2022,Overhead Squat,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,
29/Sep/2022,Repeaters,"Full Pad, Half CrimpBodyweight10 seconds on, 10 seconds off10 setsRest 2 minutes between sets.",
29/Sep/2022,Open Climb,,Kiltered. Flashed 2 more V11s at 45. Almost did 2 v12s (The Sauce and alllkind off the wagon)
28/Sep/2022,10mm OTG Iso Hold,Weight at RPE 8Pick up and hold for 10 secondsswitch hands and repeatRest 1 minute5 sets per hand,"95, 105, 105, 105, 105"
28/Sep/2022,20mm OTG Max,Add weight to a 1 rep max,Max I did was 145 today. Did this after doing the v point challenge so hopefully I'm not just way weaker than I was last time when I got 175 on both hands. Tried 180 and 170 a few times each and couldn't do them. Will retest again fresher.
28/Sep/2022,10mm OTG Iso Hold,Weight at RPE 8Pick up and hold for 10 secondsswitch hands and repeatRest 1 minute5 sets per hand,"95, 95, 95, 95, 95"
28/Sep/2022,Wide Pinch OTG Iso Hold,Weight at RPE 8Pick up and hold for 10 secondsswitch hands and repeatRest 1 minute5 sets per hand,
28/Sep/2022,Wide Pinch Max,Add weight to a 1 rep max,
28/Sep/2022,Wide Pinch OTG Iso Hold,Weight at RPE 8Pick up and hold for 10 secondsswitch hands and repeatRest 1 minute5 sets per hand,
28/Sep/2022,Homework,"Who have been your biggest climbing mentors through your life? What are some things that they have said or done that have had an impact on you? If you're comfortable with it, reach out to them and let them know you're thankful for the positive impact they've had on your climbing.",
27/Sep/2022,Projecting,3-4 boulders15-20 minutes on each. Be detail oriented!,"Went outside instead looking to project Nylon Dreamer (V11/12, supposedly in Lefthand Canyon, but sent it in 5 tries!"
25/Sep/2022,Sub max boulders,Outdoor preferred. 6-10 sub limit boulders.,
24/Sep/2022,Repeaters,"Full pad, 3-finger drag10 second hang10 second rest10 repsrest 2 minutes3 sets",
24/Sep/2022,Board Projecting,,"Flashed a V11 on the Kilterboard.Very close on another one, but LCC is too hot"
22/Sep/2022,Bench Press,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"115, 145, 180 - hard"
22/Sep/2022,Squat,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"105, 135, 165 - hard"
22/Sep/2022,Pause Push Jerk,"(New lift. See video. Start small, use dumbbells if needed).RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets","65, 85, 105 - hard"
22/Sep/2022,Dumbbell Bicep Curl,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"30, 35, 45 - haard"
22/Sep/2022,Repeaters,,
22/Sep/2022,Open Climb,,
21/Sep/2022,1-min max pull-ups,"As many strict pull-ups as you can do in 1 minute. Resting is okay, but the timer continues to run.",31
21/Sep/2022,On-the-Wall Walk-Throughs,"-Grab two good holds (works best on an overhanging wall)-With your feet as low as possible, walk your feet in small steps from left to right, then back right.-Keep your hips in, core tight-Try to go for 90 seconds straight without stopping or resting.-3 sets, 2 minute rest between sets",
21/Sep/2022,On-The-Wall Campus,"Campus on good holds for 60-90 seconds straight. You don't need to do huge moves or big lockoffs, just try to keep moving and beat the clock!-3 sets, 2 minute rest between sets",
21/Sep/2022,2X4,-Pick a climb right at your flash limit.-Climb it 2X in a row.-Rest 2 minutes-4 sets,
20/Sep/2022,Projecting,3-4 boulders15-20 minutes on each. Be detail oriented!,
18/Sep/2022,Sub max boulders,Outdoor preferred. 6-10 sub limit boulders.,
17/Sep/2022,Repeaters,"Full pad, 3-finger drag10 second hang10 second rest10 repsrest 2 minutes3 sets",
17/Sep/2022,Board Projecting,,
30/Aug/2022,Projecting,3-4 boulders15-20 minutes on each. Be detail oriented!,
28/Aug/2022,Sub max boulders,Outdoor preferred. 6-10 sub limit boulders.,
27/Aug/2022,Repeaters,"Full pad, 3-finger drag10 second hang10 second rest10 repsrest 2 minutes3 sets",
27/Aug/2022,Board Projecting,,
26/Aug/2022,Overhead Press,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"30, 40, 50"
26/Aug/2022,Romanian Deadlift,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"115, 155, 205"
26/Aug/2022,Hang Clean,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"45, 76, 105 (not hard)"
26/Aug/2022,Overhead Squat,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"45, 55, 70"
26/Aug/2022,Repeaters,"Full Pad, Half CrimpBodyweight10 seconds on, 10 seconds off10 setsRest 2 minutes between sets.",
26/Aug/2022,Open Climb,,
24/Aug/2022,Frenchies,On a bar or jug:-hang with straight arms for 5 seconds-hang at 90 degrees for 5 seconds-hang at full lockoff for 5 seconds-lower to 90 degrees for 5 seconds-lower to straight arms for 5 secondsRest 30 seconds3 sets,
24/Aug/2022,Wide Grip Pull-Ups,5 RepsWeight added to RPE 8superset with NGPUs,"50, 50, 50"
24/Aug/2022,Narrow Grip Pull-Ups,"5 repsWeight added to RPE 8Rest 1 minute, then return to WGPUs.3 sets total","50, 50, 50 (Hard)"
24/Aug/2022,Dumbbell Row,RPE 810 reps/armsuperset with dumbbell bicep curl,"45, 45, 45"
24/Aug/2022,Dumbbell Bicep Curl,"RPE 810 reps/armRest 1 minute, then return to dumbbell row.3 sets total","35, 35, 30"
24/Aug/2022,Repeaters,15mm edges10 on / 10 off10 repsrest 2 minutes3 sets,
24/Aug/2022,Movement,"Isolate.As you climb today, focus on ""isolating"" holds. Square up your center of gravity underneath a hold, try to release your other hand, and hold for a second before moving on. What can this teach you about body positioning? When can isolating holds be beneficial? When can it be detrimental?",Did 8x V7-8s on Kilterboard
23/Aug/2022,Repeaters,"Full pad, 3-finger drag10 second hang10 second rest10 repsrest 2 minutes3 sets",Three finger drag made my right forearm uncomfortable so did half the reps and only lifted off the ground on soms
23/Aug/2022,Board Projecting,,"Kilterboard @401. Many Moons V9 (2nd try)2. Tried Zilla 2.0 V9 (couldn't do weird coordo move in the middle in 5 tries)3. Trappin V9 (2nd try)4. Guanajuato Kebab V9 (5th try, incl. 2 dryfires)5. Hip Displaysia V9 (3nd try)6. Tried Save Frodo V9 (very close on paddle move, but started dry firing too much after 3rd try)7.Tried Real Air Force 1 V10, but couldn't do first move. Did the rest 1st try8. Tried DeltaX and 9 Holes Jade and did all the moves but didn't send"
20/Aug/2022,Try hard and have fun!,,
19/Aug/2022,Try hard and have fun!,,
18/Aug/2022,Try hard and have fun!,,
17/Aug/2022,Try hard and have fun!,,
16/Aug/2022,Try hard and have fun!,,
15/Aug/2022,Try hard and have fun!,,
14/Aug/2022,Try hard and have fun!,,
13/Aug/2022,Try hard and have fun!,,
11/Aug/2022,Bench Press,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"115, 145, 180"
11/Aug/2022,Squat,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"95, 125, 155 Move up all by 10 next time"
11/Aug/2022,Pause Push Jerk,"(New lift. See video. Start small, use dumbbells if needed).RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets","45, 75, 95"
11/Aug/2022,Dumbbell Bicep Curl,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"25, 35, 4545 a 9 this time "
11/Aug/2022,Repeaters,,
11/Aug/2022,Open Climb,,
10/Aug/2022,Flash or Trash,"Try a new set or unfamiliar boulders. You get 1 try on each for the day. Make sure you really concentrate on reading the whole way through the problem. Spend extra time, 3-4 minutes figuring out a sequence. Plan A and Plan B for the crux. Then try hard and execute!",
9/Aug/2022,Pauses,"Choose 5 easy-ish boulders. As you're reaching for the next hold, hover your hand over it and pause for a 2 count.Rest 2 minutes betwen each boulder.",
9/Aug/2022,Board Focus: Lock Off,"As you climb, focus on your deep lock-offs. Choose problems that require long, but attainable moves that don't force you to cut feet.",
7/Aug/2022,Sub max boulders,Outdoor preferred. 6-10 sub limit boulders.,
6/Aug/2022,Repeaters,"Full pad, half crimp10 second hang10 second rest10 repsrest 2 minutes3 sets",
6/Aug/2022,Crimp Frenchies,"Half crimp, full pad edges:-Deadhang for a 5 count-pull up to 90 degrees and hold for a 5 count-pull up to chin over bar and hold for a 5 count-lower to 90 degrees and hold for a 5 count-lower to deadhang and hold for a 5 countRest 1 minute5 sets",
6/Aug/2022,Crimp Typewriters,"Half crimp, full pad edges:-with hands spread slightly wider than shoulder width, pull up until your chin is touching your right hand. Hold for a 5 count-lower all the way, then repeat on the left hand-3 reps per hand (6 reps total)Rest 1 minute5 sets",
6/Aug/2022,Board Projecting,,"Board projected for 2 hrs, had to leave gym early because my girlfriend locked herself out of the house 😅"
4/Aug/2022,Overhead Press,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"25, 35, 45Can go up next time"
4/Aug/2022,Romanian Deadlift,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"115, 155, 195"
4/Aug/2022,Hang Clean,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"45, 75, 105Hard"
4/Aug/2022,Overhead Squat,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"45, 55, 65Haaard"
4/Aug/2022,Repeaters,"Full Pad, Half CrimpBodyweight10 seconds on, 10 seconds off10 setsRest 2 minutes between sets.",
4/Aug/2022,Open Climb,,Climbed at LCC for an hour
3/Aug/2022,Sport Climbing session,"Or, if you can't find a partner, do 6 20+ move boulders in 1 hour.",6x 5.11s on Kilter Board @30
3/Aug/2022,15 minute traverse,"On an angle slightly steeper than vertical.Rest 3 minutes, then:",Took probably 7 breaks
3/Aug/2022,1 Minute Max Pull-Ups,"3 sets with 1 minute rest in between.Rest 3 minutes, then:","25, 23, 18"
3/Aug/2022,15mm Enduro Hang,Hang as long as you can on the 15mm edge.Rest time is as long as your previous hang timeGo until your hang/rest time is less than 8 seconds. Complete as many sets as you can.,"30, 17, 12, 7"
2/Aug/2022,Projecting,3-4 boulders15-20 minutes on each. Be detail oriented!,
31/Jul/2022,Sub max boulders,Outdoor preferred. 6-10 sub limit boulders.,
30/Jul/2022,Repeaters,"Full pad, half crimp10 second hang10 second rest10 repsrest 2 minutes3 sets",20mmFirst time finishing 3x10 10 on / 10 off at 20mm with strict 2 minute rest between sets.
30/Jul/2022,Crimp Frenchies,"Half crimp, full pad edges:-Deadhang for a 5 count-pull up to 90 degrees and hold for a 5 count-pull up to chin over bar and hold for a 5 count-lower to 90 degrees and hold for a 5 count-lower to deadhang and hold for a 5 countRest 1 minute5 sets",15mm
30/Jul/2022,Crimp Typewriters,"Half crimp, full pad edges:-with hands spread slightly wider than shoulder width, pull up until your chin is touching your right hand. Hold for a 5 count-lower all the way, then repeat on the left hand-3 reps per hand (6 reps total)Rest 1 minute5 sets",20mm
30/Jul/2022,Board Projecting,,
28/Jul/2022,Bench Press,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"95, 145, 180"
28/Jul/2022,Squat,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"95, 125, 145"
28/Jul/2022,Dumbbell Bicep Curl,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"25, 35, 4545 is RPE 10"
28/Jul/2022,Repeaters,,5 on 10 off x 10 reps at 10mm3 sets.2 mind rest b/w
28/Jul/2022,Open Climb,,
27/Jul/2022,Board Volume,"Choose a grade range 2-3 grades below your flash limit. For 45 minutes, give each boulder 3 tries or less. Rest 1 minute or less between each boulder.",
27/Jul/2022,Board Focus: Weight transfer to toes,"As you climb, focus on transfering weight over to your toes. How much weight can you take off your hands by digging in and pulling hard with your feet?",
26/Jul/2022,Projecting,3-4 boulders15-20 minutes on each. Be detail oriented!,
24/Jul/2022,Sub max boulders,Outdoor preferred. 6-10 sub limit boulders.,
23/Jul/2022,Repeaters,"Full pad, half crimp10 second hang10 second rest10 repsrest 2 minutes3 sets","20mm, Failed at 3s on last rep of last set."
23/Jul/2022,Crimp Frenchies,"Half crimp, full pad edges:-Deadhang for a 5 count-pull up to 90 degrees and hold for a 5 count-pull up to chin over bar and hold for a 5 count-lower to 90 degrees and hold for a 5 count-lower to deadhang and hold for a 5 countRest 1 minute5 sets",20mm Love these.
23/Jul/2022,Crimp Typewriters,"Half crimp, full pad edges:-with hands spread slightly wider than shoulder width, pull up until your chin is touching your right hand. Hold for a 5 count-lower all the way, then repeat on the left hand-3 reps per hand (6 reps total)Rest 1 minute5 sets",Chose a bunch of crimps on Kilter Board and spray wall.
23/Jul/2022,Board Projecting,,
21/Jul/2022,Overhead Press,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"25, 35, 45"
21/Jul/2022,Romanian Deadlift,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"95, 135, 185"
21/Jul/2022,Hang Clean,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"45, 65, 95"
21/Jul/2022,Overhead Squat,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"PVC, 45, 45"
21/Jul/2022,Repeaters,"Full Pad, Half CrimpBodyweight10 seconds on, 10 seconds off10 setsRest 2 minutes between sets.",20mm failed on last rep of last set
21/Jul/2022,Open Climb,,Climbed for 2 hours at a buddy's woody
20/Jul/2022,Simulator Work,"For 1 hour, try a problem that simulates your project. Choose a pre-set problem or set your own. The moves themselves can be similar, but what's best is if you just simulate hold set type and duration. For example, if your project is crimpy and takes around 1 minute to send, start with that.",
20/Jul/2022,1 minute pull-up check-in,Surprise! You know the drill. How many pull-ups can you do in 1 minute?,34
19/Jul/2022,Projecting,3-4 boulders15-20 minutes on each. Be detail oriented!,Tried 4xV10s on Kilterboard at 45. Couldn't do any. 
17/Jul/2022,Sub max boulders,Outdoor preferred. 6-10 sub limit boulders.,
16/Jul/2022,Repeaters,"Full pad, half crimp10 second hang10 second rest10 repsrest 2 minutes3 sets","20mm, failed at 3s on last set."
16/Jul/2022,Crimp Frenchies,"Half crimp, full pad edges:-Deadhang for a 5 count-pull up to 90 degrees and hold for a 5 count-pull up to chin over bar and hold for a 5 count-lower to 90 degrees and hold for a 5 count-lower to deadhang and hold for a 5 countRest 1 minute5 sets",Failed at set 4 and 5 on last dead hang. Still pumped from repeaters
16/Jul/2022,Crimp Typewriters,"Half crimp, full pad edges:-with hands spread slightly wider than shoulder width, pull up until your chin is touching your right hand. Hold for a 5 count-lower all the way, then repeat on the left hand-3 reps per hand (6 reps total)Rest 1 minute5 sets",
16/Jul/2022,Board Projecting,,Tried 3x V10s at 60 on the Kilterboard. Got utterly shut down. Hopefully it's just because of the pump from the hangboard workout beforehand.
14/Jul/2022,Weakness Work,"For 1 hour, try problems you perceive as your weakness. Get your ass kicked.Why do you perceive this style as your weakness? And what do you think is the best way to work this weakness?","Did all the slab climbs in LCC (max grade V7). I NEVER climb slab, so I think there's a lot that I could gain from just doing a little slab once every week or two.Also, I think the 15 minutes of mobility work I've been doing 5 days a week is making a huge impact on the functionality of my lower body."
13/Jul/2022,Up Down Ups,"Choose a difficult problem you can barely flash. Climb it to the top, then climb back down using any holds, then try to repeat it.",
13/Jul/2022,Board Focus: Launch and Grab,"Choose or set a problem that requires you to cut feet on each move. Really focus on contact speed and precision. 3-4 different problems, 30-40 minutes of work.",
11/Jul/2022,Bench Press,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"95, 145, 175"
11/Jul/2022,Squat,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"95, 125, 145. I've been doing 15 minutes of mobility work per day for the last 2 weeks and I can tell squatting feels MUCH better now."
11/Jul/2022,Pause Push Jerk,"(New lift. See video. Start small, use dumbbells if needed).RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets","45, 65, 85"
11/Jul/2022,Dumbbell Bicep Curl,RPE 510 repsRPE 78 repsRPE 85 reps1 minute rest between sets,"25, 35, 40"
11/Jul/2022,Repeaters,,Did 1 set of 10x 10s on / 10s off at 30mm. No pain from right forearm or ring finger but didn't want to push it.
11/Jul/2022,Open Climb,,
6/Jul/2022,Flash or Trash,"Try a new set or unfamiliar boulders. You get 1 try on each for the day. Make sure you really concentrate on reading the whole way through the problem. Spend extra time, 3-4 minutes figuring out a sequence. Plan A and Plan B for the crux. Then try hard and execute!",Injured my right ring finger in today before I had a chance to do this workout. Not sure how bad yet.
5/Jul/2022,Projecting,3-4 boulders15-20 minutes on each. Be detail oriented!,"Tweaked my left shoulder getting yanked around by a boat while wake boarding on the 4th, so I took today easy, climbing mainly V5 and V6s. I did flash a V10 though."
3/Jul/2022,Rest,,
2/Jul/2022,Open Climb,Just a nice warm-up before your weighted pull-up and OTG testing.,
2/Jul/2022,Weighted Strict Pronated Pull-Up,-5 rep max pull-up.-Weight added with harness- Work up to a max with sets of:RPE 6RPE 6RPE 7RPE 8RPE 10-record RPE 10 weight,Left shoulder feels tweaky so I'm skipping this for now. Will revisit when I feel 100%. Last time I maxed out ~1 month ago I got 160lbs at 158 bodyweight. Form was maybe suspect though. 
2/Jul/2022,Max Wide Pinch OTG,"-Use a wide pinch (Tension Block outside edge works well).-single-hand ""deadlift"". Just get the weight ""off the ground""-How much weight can you pick up?-Record weight for both hands","Rh: 65,LH: 60"
2/Jul/2022,Max 20mm Crimp OTG,"Half crimp-single-hand ""deadlift"". Just get the weight ""off the ground""-How much weight can you pick up?-Record weight for both hands",175 both hands
2/Jul/2022,Max 3-Finger Drag OTG,"3-Finger Drag grip-single-hand ""deadlift"". Just get the weight ""off the ground""-How much weight can you pick up?-Record weight for both hands",147.5 LH 135 RH. Injured right ring finger trying 147.5. Felt a pop in my forearm.
1/Jul/2022,Rest,,
30/Jun/2022,Open Climb,Just a nice warm-up before your deadhang testing.,
